entropy,file_size,num_strings,label
6.78,7187616,164,1
7.11,7210162,23,1
3.15,1377596,2816,0
3.45,3603477,3785,0
7.89,5734982,108,1
7.23,398161,167,1
3.57,2361072,2899,0
4.11,705259,1606,0
3.29,901904,780,0
2.63,4600530,277,0
6.9,4804678,64,1
4.36,3884369,464,0
6.04,4701712,191,1
7.39,8098924,77,1
4.02,4351449,2057,0
7.43,5359363,132,1
4.5,3325927,159,0
3.9,3036320,3325,0
6.62,1907825,191,1
3.76,294054,680,0
2.67,2085970,202,0
4.13,206220,2895,0
2.79,1721952,4338,0
4.17,290618,2504,0
7.56,7304189,135,1
4.23,4306687,2168,0
5.86,2642140,23,1
6.67,4018934,164,1
4.34,2340904,3340,0
4.28,4114664,4613,0
4.45,4994324,2063,0
6.11,6829608,72,1
3.58,628826,351,0
3.95,1441866,4357,0
3.77,1220130,2547,0
7.57,5385036,138,1
3.47,3771442,427,0
7.72,6906899,122,1
6.69,7119249,93,1
7.26,203225,30,1
3.22,2511041,655,0
6.72,1136639,124,1
4.17,4276426,1005,0
6.56,7071183,39,1
2.81,2928170,445,0
3.9,2575143,4182,0
7.28,680975,170,1
5.82,7698798,109,1
6.96,6465277,52,1
6.7,3115605,169,1
7.76,2093078,194,1
3.56,4467897,3158,0
3.09,193912,4545,0
3.0,1273946,1653,0
6.19,8855307,136,1
4.27,225536,2905,0
4.38,118368,199,0
7.62,408886,134,1
3.6,4606273,3311,0
2.62,1056329,2175,0
3.18,3129546,2777,0
6.9,8735883,64,1
4.35,4456607,4427,0
3.11,850352,2953,0
4.4,187054,3921,0
6.9,5953652,79,1
7.08,3841281,97,1
4.24,626100,4045,0
3.96,4551929,4967,0
3.11,1378310,172,0
5.9,7880194,194,1
7.8,4506201,164,1
2.98,3557954,3896,0
3.94,4524421,1170,0
3.12,3077343,1718,0
7.01,4844855,153,1
3.92,501007,1293,0
7.59,9136106,110,1
6.02,6978991,126,1
7.85,5696916,197,1
6.95,8755359,144,1
6.69,899810,165,1
4.11,1318091,1511,0
4.28,3905572,494,0
7.89,9465405,194,1
7.2,5436999,151,1
3.3,4669349,1888,0
4.26,3613786,250,0
7.87,8837810,43,1
3.97,830823,3695,0
7.56,773176,126,1
2.84,1987145,4374,0
6.98,6347220,195,1
4.32,1294872,2276,0
4.05,1891475,549,0
6.71,6124708,122,1
6.79,3121035,60,1
6.71,6771115,189,1
4.5,3264230,592,0
3.24,2319201,850,0
4.06,4170947,3026,0
2.81,2839536,4276,0
6.72,5205290,148,1
6.29,1667564,178,1
6.45,4618491,179,1
5.89,4896724,104,1
2.93,2286528,2412,0
7.26,2856429,194,1
7.85,7192477,98,1
2.84,3973027,3124,0
7.93,9822567,48,1
5.83,2903832,50,1
2.96,1738674,1390,0
2.8,3585548,1219,0
7.35,710712,106,1
5.99,4900538,129,1
6.28,4372305,115,1
6.24,6966530,41,1
3.86,2544090,3110,0
3.24,4728136,794,0
3.57,4032416,1377,0
3.15,2156439,4291,0
6.65,7376658,29,1
3.15,1398515,3613,0
4.45,2333878,2850,0
3.28,1055945,1909,0
3.3,3958819,1711,0
5.89,6382146,181,1
6.94,5508119,158,1
7.39,8895918,103,1
7.81,6122161,33,1
6.69,7397949,91,1
5.79,4292924,80,1
4.42,3930642,419,0
3.98,2354019,3414,0
4.17,442778,2027,0
3.12,4773123,461,0
5.99,3734464,57,1
3.98,1587999,264,0
7.35,4225856,164,1
5.51,3479081,182,1
7.79,2166451,167,1
6.04,1841468,110,1
4.36,1416330,2060,0
6.89,2353544,152,1
5.96,9018806,148,1
7.42,4865082,136,1
4.11,2569649,476,0
3.92,181924,2211,0
7.86,2878977,105,1
4.02,115570,4663,0
2.82,2169046,1212,0
6.78,3316499,153,1
6.89,8887021,187,1
3.62,2855602,653,0
6.06,6166881,49,1
5.55,5471276,109,1
7.23,6240697,197,1
6.41,7425068,149,1
3.04,4129731,2033,0
3.59,579757,2159,0
3.84,1053356,2089,0
7.72,2967265,156,1
6.93,1549857,50,1
3.52,4826322,3618,0
7.6,3574887,47,1
6.57,8527265,193,1
3.64,4141713,964,0
3.65,1113456,4201,0
6.41,3448833,139,1
3.47,3255480,4248,0
4.45,1433653,4078,0
7.87,6262198,48,1
5.85,1476588,71,1
3.74,686378,4729,0
3.25,3668463,483,0
5.68,3844826,124,1
6.06,9093127,23,1
6.86,6189990,169,1
4.32,2107717,4999,0
5.56,1284780,35,1
7.9,2481299,35,1
6.55,719769,157,1
7.25,1496633,105,1
4.5,1508064,4518,0
3.55,2232788,4035,0
3.38,4247186,2864,0
3.12,2494918,2387,0
3.73,1541048,2794,0
3.21,3534709,1315,0
6.47,4421180,83,1
3.34,4473464,4882,0
6.82,6070044,64,1
3.37,1199409,4289,0
2.94,2851526,3105,0
7.99,7006030,189,1
4.23,3400354,3267,0
2.95,1038764,4805,0
3.01,4042385,2662,0
7.65,9306527,52,1
4.36,4452456,1915,0
3.54,1867686,423,0
7.01,8316658,157,1
3.61,3095771,2190,0
3.56,441095,3376,0
7.63,4089005,184,1
3.58,4477545,4175,0
2.72,895120,201,0
3.4,2389573,4814,0
5.53,8613585,179,1
3.77,1037764,1952,0
3.12,1473283,2867,0
4.17,3328677,3125,0
7.37,3802671,145,1
4.49,2227713,4446,0
7.14,5758616,158,1
7.12,577424,174,1
6.44,3326804,22,1
6.29,9756670,48,1
2.94,3871235,2369,0
2.68,1206703,2238,0
7.86,7246968,93,1
3.47,4406400,2148,0
3.88,4707188,702,0
6.25,545926,198,1
2.99,4628006,418,0
6.28,9647466,189,1
4.09,3800918,2656,0
4.16,1690891,316,0
6.19,4012200,46,1
7.03,9061946,26,1
6.03,6335259,144,1
3.01,365889,4507,0
3.14,3961658,3927,0
4.18,1579778,4260,0
6.6,3988076,88,1
3.08,4518961,1890,0
2.96,4399955,4704,0
7.26,5687827,131,1
7.83,6528211,123,1
6.17,9310363,177,1
5.96,1367602,174,1
3.38,2157875,242,0
6.42,7760059,103,1
2.58,2194628,3545,0
7.87,8958844,166,1
7.44,5586847,196,1
4.4,3267119,2659,0
4.06,304811,2989,0
3.12,3270363,1392,0
6.53,8297750,34,1
4.1,137771,4391,0
