Keywords,Date and Time,Source,Event ID,Task Category
Audit Success,04-06-2025 11:15:41,Microsoft-Windows-Security-Auditing,4798,User Account Management,"A user's local group membership was enumerated.

Subject:
	Security ID:		SYSTEM
	Account Name:		ALICE-IN-WONDER$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

User:
	Security ID:		ALICE-IN-WONDER\DELL
	Account Name:		DELL
	Account Domain:		ALICE-IN-WONDER

Process Information:
	Process ID:		0x1594
	Process Name:		C:\Windows\System32\svchost.exe"
Audit Success,04-06-2025 11:15:41,Microsoft-Windows-Security-Auditing,4798,User Account Management,"A user's local group membership was enumerated.

Subject:
	Security ID:		SYSTEM
	Account Name:		ALICE-IN-WONDER$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

User:
	Security ID:		ALICE-IN-WONDER\DefaultAccount
	Account Name:		DefaultAccount
	Account Domain:		ALICE-IN-WONDER

Process Information:
	Process ID:		0x1594
	Process Name:		C:\Windows\System32\svchost.exe"
Audit Success,04-06-2025 11:15:41,Microsoft-Windows-Security-Auditing,4798,User Account Management,"A user's local group membership was enumerated.

Subject:
	Security ID:		SYSTEM
	Account Name:		ALICE-IN-WONDER$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

User:
	Security ID:		ALICE-IN-WONDER\Administrator
	Account Name:		Administrator
	Account Domain:		ALICE-IN-WONDER

Process Information:
	Process ID:		0x1594
	Process Name:		C:\Windows\System32\svchost.exe"
Audit Success,04-06-2025 11:15:41,Microsoft-Windows-Security-Auditing,4798,User Account Management,"A user's local group membership was enumerated.

Subject:
	Security ID:		SYSTEM
	Account Name:		ALICE-IN-WONDER$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

User:
	Security ID:		ALICE-IN-WONDER\DELL
	Account Name:		DELL
	Account Domain:		ALICE-IN-WONDER

Process Information:
	Process ID:		0x1594
	Process Name:		C:\Windows\System32\svchost.exe"
Audit Success,04-06-2025 11:15:41,Microsoft-Windows-Security-Auditing,4798,User Account Management,"A user's local group membership was enumerated.

Subject:
	Security ID:		SYSTEM
	Account Name:		ALICE-IN-WONDER$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

User:
	Security ID:		ALICE-IN-WONDER\DefaultAccount
	Account Name:		DefaultAccount
	Account Domain:		ALICE-IN-WONDER

Process Information:
	Process ID:		0x1594
	Process Name:		C:\Windows\System32\svchost.exe"
Audit Success,04-06-2025 11:15:41,Microsoft-Windows-Security-Auditing,4798,User Account Management,"A user's local group membership was enumerated.

Subject:
	Security ID:		SYSTEM
	Account Name:		ALICE-IN-WONDER$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

User:
	Security ID:		ALICE-IN-WONDER\Administrator
	Account Name:		Administrator
	Account Domain:		ALICE-IN-WONDER

Process Information:
	Process ID:		0x1594
	Process Name:		C:\Windows\System32\svchost.exe"
Audit Success,04-06-2025 11:15:17,Microsoft-Windows-Security-Auditing,4798,User Account Management,"A user's local group membership was enumerated.

Subject:
	Security ID:		ALICE-IN-WONDER\DELL
	Account Name:		DELL
	Account Domain:		ALICE-IN-WONDER
	Logon ID:		0x3B18F53

User:
	Security ID:		ALICE-IN-WONDER\DELL
	Account Name:		DELL
	Account Domain:		ALICE-IN-WONDER

Process Information:
	Process ID:		0x682c
	Process Name:		C:\Windows\System32\mmc.exe"
Audit Success,04-06-2025 11:14:52,Microsoft-Windows-Security-Auditing,5379,User Account Management,"Credential Manager credentials were read.

Subject:
	Security ID:		ALICE-IN-WONDER\DELL
	Account Name:		DELL
	Account Domain:		ALICE-IN-WONDER
	Logon ID:		0x3B1902D
	Read Operation:		Read Credential

This event occurs when a user performs a read operation on stored credentials in Credential Manager."
Audit Success,04-06-2025 11:14:52,Microsoft-Windows-Security-Auditing,4798,User Account Management,"A user's local group membership was enumerated.

Subject:
	Security ID:		ALICE-IN-WONDER\DELL
	Account Name:		DELL
	Account Domain:		ALICE-IN-WONDER
	Logon ID:		0x3B1902D

User:
	Security ID:		ALICE-IN-WONDER\DELL
	Account Name:		DELL
	Account Domain:		ALICE-IN-WONDER

Process Information:
	Process ID:		0x134c
	Process Name:		C:\Program Files\Git\usr\bin\sh.exe"
Audit Success,04-06-2025 11:14:51,Microsoft-Windows-Security-Auditing,5379,User Account Management,"Credential Manager credentials were read.

Subject:
	Security ID:		ALICE-IN-WONDER\DELL
	Account Name:		DELL
	Account Domain:		ALICE-IN-WONDER
	Logon ID:		0x3B1902D
	Read Operation:		Enumerate Credentials

This event occurs when a user performs a read operation on stored credentials in Credential Manager."
Audit Success,04-06-2025 11:14:51,Microsoft-Windows-Security-Auditing,5379,User Account Management,"Credential Manager credentials were read.

Subject:
	Security ID:		ALICE-IN-WONDER\DELL
	Account Name:		DELL
	Account Domain:		ALICE-IN-WONDER
	Logon ID:		0x3B1902D
	Read Operation:		Enumerate Credentials

This event occurs when a user performs a read operation on stored credentials in Credential Manager."
Audit Success,04-06-2025 11:14:51,Microsoft-Windows-Security-Auditing,4798,User Account Management,"A user's local group membership was enumerated.

Subject:
	Security ID:		ALICE-IN-WONDER\DELL
	Account Name:		DELL
	Account Domain:		ALICE-IN-WONDER
	Logon ID:		0x3B1902D

User:
	Security ID:		ALICE-IN-WONDER\DELL
	Account Name:		DELL
	Account Domain:		ALICE-IN-WONDER

Process Information:
	Process ID:		0x6754
	Process Name:		C:\Program Files\Git\usr\bin\sh.exe"
Audit Success,04-06-2025 11:13:35,Microsoft-Windows-Security-Auditing,4798,User Account Management,"A user's local group membership was enumerated.

Subject:
	Security ID:		SYSTEM
	Account Name:		ALICE-IN-WONDER$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

User:
	Security ID:		ALICE-IN-WONDER\DELL
	Account Name:		DELL
	Account Domain:		ALICE-IN-WONDER

Process Information:
	Process ID:		0x1594
	Process Name:		C:\Windows\System32\svchost.exe"
Audit Success,04-06-2025 11:13:35,Microsoft-Windows-Security-Auditing,4798,User Account Management,"A user's local group membership was enumerated.

Subject:
	Security ID:		SYSTEM
	Account Name:		ALICE-IN-WONDER$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

User:
	Security ID:		ALICE-IN-WONDER\DefaultAccount
	Account Name:		DefaultAccount
	Account Domain:		ALICE-IN-WONDER

Process Information:
	Process ID:		0x1594
	Process Name:		C:\Windows\System32\svchost.exe"
Audit Success,04-06-2025 11:13:35,Microsoft-Windows-Security-Auditing,4798,User Account Management,"A user's local group membership was enumerated.

Subject:
	Security ID:		SYSTEM
	Account Name:		ALICE-IN-WONDER$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

User:
	Security ID:		ALICE-IN-WONDER\Administrator
	Account Name:		Administrator
	Account Domain:		ALICE-IN-WONDER

Process Information:
	Process ID:		0x1594
	Process Name:		C:\Windows\System32\svchost.exe"
Audit Success,04-06-2025 11:13:35,Microsoft-Windows-Security-Auditing,4798,User Account Management,"A user's local group membership was enumerated.

Subject:
	Security ID:		SYSTEM
	Account Name:		ALICE-IN-WONDER$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

User:
	Security ID:		ALICE-IN-WONDER\DELL
	Account Name:		DELL
	Account Domain:		ALICE-IN-WONDER

Process Information:
	Process ID:		0x1594
	Process Name:		C:\Windows\System32\svchost.exe"
Audit Success,04-06-2025 11:13:35,Microsoft-Windows-Security-Auditing,4798,User Account Management,"A user's local group membership was enumerated.

Subject:
	Security ID:		SYSTEM
	Account Name:		ALICE-IN-WONDER$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

User:
	Security ID:		ALICE-IN-WONDER\DefaultAccount
	Account Name:		DefaultAccount
	Account Domain:		ALICE-IN-WONDER

Process Information:
	Process ID:		0x1594
	Process Name:		C:\Windows\System32\svchost.exe"
Audit Success,04-06-2025 11:13:35,Microsoft-Windows-Security-Auditing,4798,User Account Management,"A user's local group membership was enumerated.

Subject:
	Security ID:		SYSTEM
	Account Name:		ALICE-IN-WONDER$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

User:
	Security ID:		ALICE-IN-WONDER\Administrator
	Account Name:		Administrator
	Account Domain:		ALICE-IN-WONDER

Process Information:
	Process ID:		0x1594
	Process Name:		C:\Windows\System32\svchost.exe"
Audit Success,04-06-2025 11:11:42,Microsoft-Windows-Security-Auditing,5058,Other System Events,"Key file operation.

Subject:
	Security ID:		ALICE-IN-WONDER\DELL
	Account Name:		DELL
	Account Domain:		ALICE-IN-WONDER
	Logon ID:		0x3B1902D

Process Information:
	Process ID:		26388
	Process Creation Time:	‎2025‎-‎06‎-‎04T05:41:40.951738500Z

Cryptographic Parameters:
	Provider Name:	Microsoft Software Key Storage Provider
	Algorithm Name:	ECDSA_P256
	Key Name:	ChromeMetricsTestKey
	Key Type:	User key.

Key File Operation Information:
	File Path:	C:\Users\DELL\AppData\Roaming\Microsoft\Crypto\Keys\1e313dfb17707690d41bc1ce552b952a_77ea3534-aff9-4118-913a-426f47a54256
	Operation:	Delete key file.
	Return Code:	0x0"
